player_name,club,assists,corner_taken,offsides,dribbles,position,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_completed,freekicks_taken,match_played
Lang,Club Brugge,1,12,5,17,Forward,71.3,214,152,4,24,1,8,6
Lemar,Atlético,1,7,0,7,Midfielder,76.1,171,133,28,14,4,0,8
Lewandowski,Bayern,3,0,7,1,Forward,79.1,206,163,10,10,1,1,10
Lingard,Man. United,1,0,0,2,Midfielder,82.5,49,42,0,0,0,0,4
Loftus-Cheek,Chelsea,1,0,0,15,Forward,80.3,252,229,42,7,3,2,8
Lucas Vázquez,Real Madrid,1,0,0,6,Midfielder,83.6,239,207,25,12,3,2,8
Luis Díaz,Liverpool,1,0,2,42,Forward,83.8,341,282,18,11,2,0,13
Mæhle,Atalanta,1,0,1,11,Defender,81.8,217,184,0,8,0,0,5
Mahrez,Man. City,2,30,5,28,Midfielder,84.9,482,414,24,49,12,11,12
Malcom,Zenit,1,6,2,12,Forward,84.5,179,149,23,21,5,5,6
Mané,Liverpool,1,0,9,17,Midfielder,79,278,219,30,10,3,1,13
Marquinhos,Paris,1,0,0,0,Defender,92.5,509,475,0,0,0,16,8
Martínez,Ajax,1,0,0,3,Defender,94.1,674,633,0,0,0,12,8
Matheus Nunes,Sporting CP,2,0,0,21,Midfielder,83.7,211,177,0,0,0,11,6
Mazraoui,Ajax,2,0,0,13,Defender,86.9,385,338,36,19,7,7,8
Mbappé,Paris,4,4,8,43,Forward,85.4,257,220,13,15,2,0,8
Mendy,Real Madrid,2,0,0,8,Defender,91.1,413,376,25,12,3,4,10
Meunier,Dortmund,1,0,1,7,Defender,77.3,271,212,5,18,1,3,6
Milner,Liverpool,1,4,0,1,Midfielder,57.5,157,116,22,9,2,7,8
Modrić,Real Madrid,4,10,0,8,Midfielder,89.8,799,723,25,12,3,26,13
Moi Gómez,Villarreal,1,0,0,4,Midfielder,83.2,83,62,25,4,1,0,6
Moumi Ngamaleu,Young Boys,1,1,0,34,Midfielder,83.2,192,159,11,18,2,1,6
Mount,Chelsea,2,7,0,6,Midfielder,83.9,268,225,25,27,7,2,7
Mukiele,Leipzig,1,0,0,3,Defender,72.7,196,144,13,15,2,10,6
Müller,Bayern,3,10,8,2,Forward,78.9,366,283,28,25,7,1,10
Musiala,Bayern,1,0,1,20,Midfielder,83.4,168,141,0,2,0,0,8
Neuer,Bayern,1,0,0,1,Goalkeeper,90.9,352,318,0,0,0,8,9
Neymar,Paris,1,7,1,27,Forward,84.2,259,223,0,5,0,5,6
Ocampos,Sevilla,1,1,1,16,Midfielder,79.2,165,133,21,19,4,1,6
Origi,Liverpool,1,0,0,3,Forward,74.7,47,35,0,3,0,0,7
Oxlade-Chamberlain,Liverpool,1,9,0,6,Midfielder,85.3,165,141,20,10,2,5,6
Palomino,Atalanta,1,0,1,0,Defender,83.6,245,207,0,0,0,12,5
Parejo,Villarreal,3,36,0,4,Midfielder,84.3,657,560,56,37,21,52,12
Pašalić,Atalanta,1,0,0,2,Midfielder,79.6,71,57,0,1,0,1,5
Paulinho,Sporting CP,1,0,5,8,Forward,74.8,139,105,0,3,0,0,8
Pavard,Bayern,1,0,2,0,Defender,90.2,676,613,33,12,4,10,10
Pedraza,Villarreal,1,0,0,9,Midfielder,61.4,195,151,15,19,3,0,10
Pedro Gonçalves,Sporting CP,2,7,0,10,Midfielder,64.2,83,54,62,8,5,1,5
Perišić,Inter,1,0,2,13,Midfielder,79.8,219,168,25,47,12,0,8
Pjanic,Beşiktaş,2,9,0,4,Midfielder,83.3,216,182,60,10,6,19,3
Poulsen,Leipzig,1,0,0,2,Forward,46.8,43,27,0,1,0,0,4
Pulišić,Chelsea,1,0,1,11,Midfielder,86.3,123,106,25,4,1,0,7
Rafa Mir,Sevilla,1,0,0,1,Forward,58.8,46,29,50,2,1,0,6
Rafa Silva,Benfica,1,0,3,27,Forward,76.1,187,145,37,8,3,2,9
Rafael Leão,Milan,1,0,3,16,Forward,73.5,57,42,27,11,3,0,4
Rakitić,Sevilla,1,7,0,0,Midfielder,77.6,148,124,21,14,3,14,5
Rakitskyy,Zenit,2,6,0,4,Defender,81.7,348,287,28,14,4,20,6
Renan Lodi,Atlético,2,1,5,9,Defender,78.8,164,128,25,20,5,5,10
Reus,Dortmund,1,5,7,5,Midfielder,83,215,182,7,14,1,8,6
Ricardo Esgaio,Sporting CP,2,0,0,1,Defender,75.6,171,146,33,3,1,7,8
Rieder,Young Boys,1,6,0,2,Midfielder,69.7,98,69,11,9,1,3,6
Robertson,Liverpool,2,27,1,9,Defender,81.1,628,512,25,63,16,22,10
Rodrygo,Real Madrid,2,1,1,20,Forward,77.6,209,183,38,13,5,3,11
